SongID,AlbumID,Name,Duration,Dancablity,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Popularity,Explicit
62,60,(Remember The Days Of The) Old Schoolyard,164826,0.648,0.581,-8.684,0.0495,0.485,0,0.565,0.61,42,FALSE
63,61,(Say) You're My Girl,165426,0.424,0.657,-5.801,0.0289,0.727,0.000162,0.153,0.85,12,FALSE
64,62,(Shake| Shake| Shake) Shake Your Booty,186906,0.649,0.825,-12.243,0.0335,0.00606,0.154,0.104,0.961,53,FALSE
65,63,(She's Got) Skillz,245066,0.942,0.595,-9.781,0.0458,0.152,0.000142,0.0861,0.958,34,FALSE
66,64,(Sittin' On) The Dock Of The Bay,161573,0.729,0.125,-21.263,0.0318,0.266,0.662,0.101,0.65,6,FALSE
67,65,(Sittin' On) The Dock Of The Bay,231240,0.464,0.525,-13.806,0.0566,0.192,7.23E-06,0.268,0.565,39,FALSE
68,66,(Sittin' On) The Dock Of The Bay,163755,0.769,0.367,-11.226,0.0312,0.684,1.62E-05,0.081,0.535,73,FALSE
69,67,(Sittin' On) The Dock Of The Bay,163000,0.724,0.585,-6.739,0.03,0.0582,0.00285,0.104,0.471,9,FALSE
70,68,(Sweet Sweet Baby) Since You've Been Gone,145264,0.708,0.67,-8.142,0.029,0.471,0.0314,0.0631,0.94,47,FALSE
71,69,(The Bees Are For The Birds) The Birds Are For The Bees,133706,0.483,0.478,-13.621,0.0789,0.749,0,0.258,0.913,2,FALSE
72,70,(The Best Part Of) Breakin' Up,184346,0.49,0.729,-9.046,0.0481,0.403,0.00259,0.124,0.546,27,FALSE
73,71,(The Lament Of The Cherokee) Indian Reservation,201200,0.805,0.473,-12.999,0.0507,0.24,0.00516,0.177,0.519,14,FALSE
74,72,(The Lights Went Out In) Massachusetts,176320,0.404,0.498,-8.227,0.0278,0.149,0.00068,0.551,0.381,5,FALSE
75,48,(The Man Who Shot) Liberty Valance,178440,0.602,0.591,-8.684,0.053,0.739,0,0.175,0.837,41,FALSE
76,73,(Theme from) My Three Sons,122600,0.365,0.796,-5.441,0.0352,0.304,0.936,0.0562,0.954,7,FALSE
77,74,(Theme From) Valley Of The Dolls,218840,0.23,0.273,-13.277,0.0352,0.871,2.21E-06,0.059,0.0868,36,FALSE
78,75,(There Was A) Tall Oak Tree,125946,0.602,0.411,-10.841,0.0558,0.463,0,0.235,0.719,2,FALSE
79,76,(There's No Place Like) Home For The Holidays,171333,0.69,0.189,-12.797,0.0316,0.897,0,0.133,0.735,66,FALSE
80,77,(There's) Always Something There To Remind Me,179506,0.68,0.328,-13.69,0.0673,0.737,0,0.581,0.821,40,FALSE
81,78,(There's) Always Something There To Remind Me,193973,0.574,0.469,-8.163,0.0621,0.472,0,0.0742,0.746,25,FALSE
82,79,(Today I Met) The Boy I'm Gonna Marry,166053,0.353,0.703,-5.847,0.0583,0.54,0.0641,0.91,0.608,50,FALSE
83,80,(We'll Be) United,171133,0.463,0.493,-7.63,0.0249,0.363,0,0.567,0.365,28,FALSE
84,81,(Welcome) New Lovers,135735,0.582,0.438,-16.499,0.0388,0.927,0.762,0.511,0.837,4,FALSE
85,82,(What A Sad Way) To Love Someone,179957,0.61,0.232,-17.007,0.0287,0.86,7.21E-05,0.106,0.539,2,FALSE
86,83,(what) In The Name Of Love,267066,0.705,0.751,-12.224,0.0385,0.0646,0.000172,0.0881,0.833,31,FALSE
87,84,(When You Gonna) Give It Up To Me,243880,0.711,0.761,-3.04,0.225,0.067,0,0.041,0.718,47,FALSE
88,85,(Where Do I Begin) Love Story,189066,0.259,0.473,-10.187,0.0324,0.512,1.50E-06,0.4,0.232,57,FALSE
