ArtistID,ArtistName
673,John Stewart
960,matchbox twenty
3468,Yvonne Elliman
317,George Hamilton IV
648,Harpers Bizarre
3583,DJ Luke Nasty
2383,KC
65,The Kingpins
126,Paul Hardcastle
2883,Boys Don't Cry
1488,Fun Factory
555,Firefall
2864,Frank Ifield
1529,Pockets
66,King Curtis 
4840,Ugly God
1891,Rex Allen
1193,Q-Tip
67,Michael Bolton
1392,Real Life
773,Sylvia
68,Otis Redding
1624,Fiona Apple
3127,Lee Hazlewood
1472,The Beau-Marks
725,Crazy Frog
918,Shakira
405,Jennifer Lopez
3552,KRS-One
1810,Redman
69,The Reddings
3747,John Forte
4489,Barry Mann
1187,The Script
70,Aretha Franklin
492,Firehouse
1110,The Fantastic Johnny C
72,The Ronettes
403,Rick Astley
889,Cissy Houston
3907,Scritti Politti
622,John Denver
1671,Shaun Cassidy
1492,Indigo Girls
182,Neneh Cherry
73,Don Fardon
610,Rene
1126,Blink-182
1762,Kendrick Lamar
4739,DJ ESCO 
74,Bee Gees
75,Lawrence Welk And His Orchestra
591,Jennifer Hudson
2208,Silver Convention
402,Fanny
2189,The Crazy World Of Arthur Brown
2981,Bill Deal 
649,Debbie Gibson
988,The Starlets
1851,Brook Benton
3047,Zager 
76,Dionne Warwick
1072,Tanya Tucker
376,Marv Johnson
1337,Shakira 
3929,Junior M.A.F.I.A.
77,Dorsey Burnette
1706,Nigel Olsson
1124,Joey Galaxy
2540,Nancy Ames
348,Jennifer Lopez 
78,Perry Como
1208,Tiny Tim
933,Patti Smith Group
4267,Blueface 
79,Lou Johnson
972,H.E.R.
4322,Rockwell
1445,Jose Feliciano
2153,Planet Soul 
4065,Austin Roberts
80,Darlene Love
945,Hughes/Thrall
81,Pat Boone
546,The Kid LAROI
893,The Meters
82,Ral Donner
1893,Le Click 
531,Kristin Chenoweth
2941,Gamma
2813,All Saints
1355,The Astors
83,Naked Eyes
84,Keyshia Cole
771,Barbara Lewis
4717,Vaughan Brothers
1260,Crazy Town
675,The Duprees
493,Suzi Quatro
121,James Blunt
86,The Kinks
2969,Anastacia
1665,Raheem DeVaughn
168,Wiz Khalifa 
87,Joe Simon
3442,Troy Newman
322,David Bowie
4470,The SNS Express
366,Prelude
946,The New Seekers
1039,Los Bravos
88,The McCoys
90,Mitch Ryder
4747,Ultimate
902,The Bangles
238,The Weeknd 
91,Nicki Minaj Or Chimamanda Ngozi Adichie
2757,Adam Gontier
4158,Jimmy Durante
2062,The Tremeloes
92,Beyonce 
1802,The Neptunes
4557,The Ataris
465,Barbra Streisand
4529,Cheryl Pepsii Riley
95,Fetty Wap 
4337,D Train
965,Lulu
2336,Foxy
1880,Festival
259,Rickie Lee Jones
96,Lil Dicky 
4271,Johnny Gill)
1007,Claude King
1842,Anthony Newley
923,The New Seekers 
97,Amerie
421,Krewella
1468,The Gentrys
2771,Angelina
100,Luke Combs 
3931,Another Bad Creation
1250,Plies 
102,Ciara 
3264,Penny Mclean
3663,White Plains
3890,The Marathons
1388,Ian Van Dahl 
3301,Kaskade 
103,Coolio
119,Yo Gotti 
1347,Larray
114,Dan + Shay
104,Beyonce
799,Saraya
142,YNW Melly 
2220,The Sylvers
1776,Jim Backus 
105,Johnny Bond
3317,Andrea Martin
1892,Kayo
3145,The Time
304,Raydio
106,Mac Miller
1794,Gravediggaz
288,Joe Tex
4542,Susan Jacks)
107,Five For Fighting
2207,Bill
108,Nancy Sinatra
292,Anita Bryant
1009,Warrant
1619,Radiohead
109,Drake
3112,Deborah Cox
354,Ed Sheeran
4313,JC Chasez 
2051,Lionel Richie
216,Ringo Starr
110,The Game 
602,The Jeff Healey Band
4496,Cali Swag District
1982,The First Class
614,David Archuleta
1402,The Johnny Average Band 
3121,Francesca Battistelli
646,Miami Sound Machine
401,Lutricia McNeal
1736,The Wackers
2021,Uriah Heep
2049,The Four Lads
3345,Jonathan Butler
1474,Jidenna 
655,Davie Allan
3937,Ronnie Milsap
112,Skid Row
3534,Doucette
5005,Village People
1766,Duane Eddy
3098,The Ebonys
3702,Howard Tate
3766,Cheat Codes 
116,Tom Northcott
