AlbumID,Name
131,{'album_type': 'album'| 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C'}| 'href': 'https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C'| 'id': '0du5cEVh5yTK9QJze8zA0C'| 'name': 'Bruno Mars'| 'type': 'artist'| 'uri': 'spotify:artist:0du5cEVh5yTK9QJze8zA0C'}]| 'available_markets': ['AD'| 'AE'| 'AG'| 'AL'| 'AM'| 'AO'| 'AR'| 'AT'| 'AU'| 'AZ'| 'BA'| 'BB'| 'BD'| 'BE'| 'BF'| 'BG'| 'BH'| 'BI'| 'BJ'| 'BN'| 'BO'| 'BR'| 'BS'| 'BT'| 'BW'| 'BY'| 'BZ'| 'CA'| 'CH'| 'CI'| 'CL'| 'CM'| 'CO'| 'CR'| 'CV'| 'CW'| 'CY'| 'CZ'| 'DE'| 'DJ'| 'DK'| 'DM'| 'DO'| 'DZ'| 'EC'| 'EE'| 'EG'| 'ES'| 'FI'| 'FJ'| 'FM'| 'FR'| 'GA'| 'GB'| 'GD'| 'GE'| 'GH'| 'GM'| 'GN'| 'GQ'| 'GR'| 'GT'| 'GW'| 'GY'| 'HK'| 'HN'| 'HR'| 'HT'| 'HU'| 'ID'| 'IE'| 'IL'| 'IN'| 'IS'| 'IT'| 'JM'| 'JO'| 'JP'| 'KE'| 'KG'| 'KH'| 'KI'| 'KM'| 'KN'| 'KR'| 'KW'| 'KZ'| 'LA'| 'LB'| 'LC'| 'LI'| 'LK'| 'LR'| 'LS'| 'LT'| 'LU'| 'LV'| 'MA'| 'MC'| 'MD'| 'ME'| 'MG'| 'MH'| 'MK'| 'ML'| 'MN'| 'MO'| 'MR'| 'MT'| 'MU'| 'MV'| 'MW'| 'MX'| 'MY'| 'MZ'| 'NA'| 'NE'| 'NG'| 'NI'| 'NL'| 'NO'| 'NP'| 'NR'| 'NZ'| 'OM'| 'PA'| 'PE'| 'PG'| 'PH'| 'PK'| 'PL'| 'PS'| 'PT'| 'PW'| 'PY'| 'QA'| 'RO'| 'RS'| 'RU'| 'RW'| 'SA'| 'SB'| 'SC'| 'SE'| 'SG'| 'SI'| 'SK'| 'SL'| 'SM'| 'SN'| 'SR'| 'ST'| 'SV'| 'SZ'| 'TD'| 'TG'| 'TH'| 'TL'| 'TN'| 'TO'| 'TR'| 'TT'| 'TV'| 'TW'| 'TZ'| 'UA'| 'UG'| 'US'| 'UY'| 'UZ'| 'VC'| 'VN'| 'VU'| 'WS'| 'XK'| 'ZA'| 'ZM'| 'ZW']| 'external_urls': {'spotify': 'https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA'}| 'href': 'https://api.spotify.com/v1/albums/4PgleR09JVnm3zY1fW3XBA'| 'id': '4PgleR09JVnm3zY1fW3XBA'| 'images': [{'height': 640| 'url': 'https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5'| 'width': 640}| {'height': 300| 'url': 'https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5'| 'width': 300}| {'height': 64| 'url': 'https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5'| 'width': 64}]| 'name': '24K Magic'| 'release_date': '2016-11-17'| 'release_date_precision': 'day'| 'total_tracks': 9| 'type': 'album'| 'uri': 'spotify:album:4PgleR09JVnm3zY1fW3XBA'}
21,Hit Singles - EP
189,Sure Things
3365,"Greg Kihn Band ""Best Of Beserkley"" \75 - \84"
577,Rock and Pop Oldies Mi
2372,Music
1979,Welcome To The Dollhouse
1107,Heavier Things
4412,Ri
24,Cooler Than Ice: Arctic Records and the Rise of Philly Soul
6440,Sexy People (The Fiat Song)
25,The Essential Skeeter Davis
4376,Never Gone
417,Naked
6477,Turning Around
1864,Moonlight Cocktails
1675,Time And Chance
1647,Hey Hey Pretty Baby
3119,She Wolf (Expanded Edition)
458,All Jacked Up
349,The Singles (Expanded)
44,Unison
1713,With Love
33,The Best Of Gene Pitney
5633,While We Wait
653,Bad 25th Anniversary
1300,Break Every Rule
7424,Never Trust A Happy Song
287,Genuine: The Alan Jackson Story
6417,The Gold Medal Collection
26,The Jamie Singles Collection 1962-1965
27,Greatest Hits
6405,Greatet Slow Jam
2679,Fall
7004,First Take
6857,Melly vs. Melvin
739,Wild Orchid
6420,Song Boo
694,Their Greatest Hits
696,Thompson Square
6027,Big Bam Boom
4572,Relentless
353,Ooooooohhh... On The TLC Tip
32,The Very Best of the Olympics
7406,Hood Hop
1534,Candy Girl
3652,Magazines Or Novels
4974,Livin' for You
745,Six Pack
296,Come Get It: The Very Best Of Aaron Carter
2846,Michael Bolton
1875,Hangin' Tough
7190,The Loco-Motion
28,Three Days Grace (Deluxe Version)
4736,Tres Hombres (Expanded 2006 Remaster)
193,Todd
1120,The Essential Paul Revere & The Raiders
3469,This Island
3082,Doggystyle
6973,Afrodisiac
56,The Fantastics
168,Comin' To Your City (Revised)
4079,Requestfully Yours
